Designator,Mid X,Mid Y,Rotation,Layer
D20,128.428992,-71.83299,0.0,bottom
D21,128.428992,-90.88299,0.0,bottom
D22,128.428992,-109.93299,0.0,bottom
D23,137.953992,-131.2,0.0,bottom
D24,147.478992,-55.44999,0.0,bottom
D25,147.478992,-74.49999,0.0,bottom
D26,147.478992,-93.54999,0.0,bottom
D27,147.478992,-112.59999,0.0,bottom
D28,158.2889923967285,-118.54999075364402,122.0,bottom
D29,231.6175113967285,-118.41121924635598,238.0,bottom
D3,52.228992,-95.64549,0.0,bottom
D30,240.768511,-55.662469,0.0,bottom
D31,240.8,-74.7,0.0,bottom
D32,240.768511,-93.762469,0.0,bottom
D33,240.768511,-112.812469,0.0,bottom
D34,250.293511,-131.862469,0.0,bottom
D35,259.818511,-52.995469,0.0,bottom
D36,259.818511,-72.045469,0.0,bottom
D37,259.818511,-91.095469,0.0,bottom
D38,259.818511,-110.145469,0.0,bottom
D39,269.343511,-130.528969,0.0,bottom
D4,52.228992,-114.69549,0.0,bottom
D40,278.868511,-51.852469,0.0,bottom
D41,278.868511,-70.902469,0.0,bottom
D42,278.868511,-89.952469,0.0,bottom
D43,278.868511,-109.002469,0.0,bottom
D44,288.393511,-130.528969,0.0,bottom
D45,297.918511,-52.995469,0.0,bottom
D46,297.918511,-72.045469,0.0,bottom
D47,297.918511,-91.095469,0.0,bottom
D48,297.918511,-110.145469,0.0,bottom
D49,316.968511,-56.614969,0.0,bottom
D5,71.278992,-56.40249,0.0,bottom
D50,316.968511,-75.664969,0.0,bottom
D51,316.968511,-94.714969,0.0,bottom
D52,316.968511,-113.764969,0.0,bottom
D53,336.018511,-57.757969,0.0,bottom
D54,336.018511,-76.807969,0.0,bottom
D55,336.018511,-95.857969,0.0,bottom
D56,336.018511,-114.907969,0.0,bottom
D57,167.788992,-104.54999,180.0,bottom
D58,222.632319,-104.911219,180.0,bottom
D6,71.278992,-75.45249,0.0,bottom
D7,71.278992,-94.50249,0.0,bottom
D8,71.278992,-113.55249,0.0,bottom
D9,90.328992,-52.78299,0.0,bottom
J1,168.426992,-69.740719,270.0,top
J3,221.616511,-69.740719,270.0,top
RE1,169.396992,-94.27824,270.0,top
RE2,220.586511,-94.490719,270.0,top
RST,184.3268,-55.7895,270.0,top
