Designator,Mid X,Mid Y,Rotation,Layer
S37,260.686511,-82.548719,0.0,top
S38,260.686511,-101.598719,0.0,top
S39,270.211511,-121.982219,0.0,top
S4,53.096992,-106.14874,0.0,top
S40,279.736511,-43.305719,0.0,top
S41,279.736511,-62.355719,0.0,top
S42,279.736511,-81.405719,0.0,top
S43,279.736511,-100.455719,0.0,top
S44,289.261511,-121.982219,0.0,top
S45,298.786511,-44.448719,0.0,top
S46,298.786511,-63.498719,0.0,top
S47,298.786511,-82.548719,0.0,top
S48,298.786511,-101.598719,0.0,top
S49,317.836511,-48.068219,0.0,top
S5,72.146992,-47.85574,0.0,top
S50,317.836511,-67.118219,0.0,top
S51,317.836511,-86.168219,0.0,top
S52,317.836511,-105.218219,0.0,top
S53,336.886511,-49.211219,0.0,top
S54,336.886511,-68.261219,0.0,top
S55,336.886511,-87.311219,0.0,top
S56,336.886511,-106.361219,0.0,top
S6,72.146992,-66.90574,0.0,top
S7,72.146992,-85.95574,0.0,top
S8,72.146992,-105.00574,0.0,top
S9,91.196992,-44.23624,0.0,top
